,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,d,Strength,ND,SystemReference,Size,SizeType
454,Diptera,Fannia.ungulata,Fannia,ungulata,Fannia ungulata,bwk,1,0.596590064,0.054054054,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",3.98,BL
472,Hymenoptera,Halictus.confusus,Halictus,confusus,Halictus confusus,bwk,1,0.678438386,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",1.4,ITD
479,Hymenoptera,Halictus.rubicundus,Halictus,rubicundus,Halictus rubicundus,bwk,2,0.403250233,0.026916221,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2,ITD
498,Hymenoptera,Hoplitis.producta,Hoplitis,producta,Hoplitis producta,bwk,1,0.814095696,0.25,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",1.2375,ITD
501,Hymenoptera,Hylaeus.basalis,Hylaeus,basalis,Hylaeus basalis,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8.5,BL
502,Hymenoptera,Hylaeus.ellipticus,Hylaeus,ellipticus,Hylaeus ellipticus,bwk,1,0.706236872,0.135135135,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5,BL
505,Hymenoptera,Hylaeus.stevensi,Hylaeus,stevensi,Hylaeus stevensi,bwk,1,0.515770099,0.027027027,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.5,BL
511,Coleoptera,Judolia.montivagans,Judolia,montivagans,Judolia montivagans,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10,BL
547,Hemiptera,Lygus.rufidorsus,Lygus,rufidorsus,Lygus rufidorsus,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",4.86,BL
550,Diptera,Mallota.posticata,Mallota,posticata,Mallota posticata,bwk,2,0.356563923,0.021139539,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9.5,BL
582,Diptera,Melangyna.lasiophthalma,Melangyna,lasiophthalma,Melangyna lasiophthalma,bwk,2,0.443258206,0.038791733,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.5,HW
584,Diptera,Melanostoma.sp,Melanostoma,sp,Melanostoma sp,bwk,1,0.488259315,0.024691358,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",7,BL
622,Hymenoptera,Nomada.cuneata,Nomada,cuneata,Nomada cuneata,bwk,1,0.404233319,0.011764706,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9.5,BL
628,Hymenoptera,Nomada.sayi,Nomada,sayi,Nomada sayi,bwk,1,0.271329138,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",6.75,BL
643,Coleoptera,Orsodacne.atra,Orsodacne,atra,Orsodacne atra,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",7,BL
644,Diptera,Orthonevra.pulchella,Orthonevra,pulchella,Orthonevra pulchella,bwk,2,0.378747214,0.023740754,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",6,BL
656,Hymenoptera,Osmia.lignaria,Osmia,lignaria,Osmia lignaria,bwk,1,0.219413746,0.041666667,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",3.4,ITD
663,Hymenoptera,Osmia.proxima,Osmia,proxima,Osmia proxima,bwk,2,0.417620466,0.039003075,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL
664,Hymenoptera,Osmia.pumila,Osmia,pumila,Osmia pumila,bwk,1,0.515770099,0.027027027,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",1.614444444,ITD
683,Diptera,Paramyia.nitens,Paramyia,nitens,Paramyia nitens,bwk,2,0.956267839,0.877416595,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.2,BL
685,Diptera,Parasyrphus.relictus,Parasyrphus,relictus,Parasyrphus relictus,bwk,3,0.777754407,0.607602442,0.006423983,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL
700,Hymenoptera,Passaloecus.sp,Passaloecus,sp,Passaloecus sp,bwk,1,0.515770099,0.027027027,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9.5,BL
701,Diptera,Pegohylemyia.fugax,Pegohylemyia,fugax,Pegohylemyia fugax,bwk,1,0.404233319,0.011764706,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",7,BL
708,Lepidoptera,Phalaenophana.pyramusalis,Phalaenophana,pyramusalis,Phalaenophana pyramusalis,bwk,1,0.404233319,0.011764706,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10,BL
711,Diptera,Phaonia.serva,Phaonia,serva,Phaonia serva,bwk,2,0.488057633,0.060042078,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10,BL
715,Coleoptera,Pidonia.ruficollis,Pidonia,ruficollis,Pidonia ruficollis,bwk,2,0.521623414,0.089570858,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8.4,BL
716,Lepidoptera,Pieris.napi,Pieris,napi,Pieris napi,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",46,WS
727,Lepidoptera,Poanes.hobomok,Poanes,hobomok,Poanes hobomok,bwk,1,0.573817869,0.041666667,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",30,BL
753,Hymenoptera,Psithyrus.sp,Psithyrus,sp,Psithyrus sp,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",19.8,BL
760,Diptera,Pyrophaena.rosarum,Pyrophaena,rosarum,Pyrophaena rosarum,bwk,1,0.591662403,0.027027027,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.4,HW
766,Hymenoptera,Rhopalum.sp,Rhopalum,sp,Rhopalum sp,bwk,1,0.573817869,0.041666667,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",6.1,BL
767,Diptera,Sarcophaga.nearctica,Sarcophaga,nearctica,Sarcophaga nearctica,bwk,2,0.426495713,0.047654691,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",17.9,BL
783,Diptera,Sphaerophoria.bifurcata,Sphaerophoria,bifurcata,Sphaerophoria bifurcata,bwk,5,0.540410747,0.62811309,0.010706638,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8.35,BL
785,Diptera,Sphaerophoria.longipilosa,Sphaerophoria,longipilosa,Sphaerophoria longipilosa,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8.5,BL
787,Diptera,Sphaerophoria.sp,Sphaerophoria,sp,Sphaerophoria sp,bwk,3,0.47506047,0.0804584,0.006423983,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",15.175,BL
792,Hymenoptera,Sphecodes.sp,Sphecodes,sp,Sphecodes sp,bwk,1,0.38822229,0.011976048,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9.75,BL
804,Diptera,Syritta.pipiens,Syritta,pipiens,Syritta pipiens,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",7.5,BL
808,Diptera,Syritta.rectus,Syritta,rectus,Syritta rectus,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL
822,Diptera,Temnostoma.alternans,Temnostoma,alternans,Temnostoma alternans,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",20,BL
823,Diptera,Temnostoma.balyras,Temnostoma,balyras,Temnostoma balyras,bwk,1,0.436430804,0.017964072,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10,BL
824,Diptera,Temnostoma.barberi,Temnostoma,barberi,Temnostoma barberi,bwk,1,0.38822229,0.011976048,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",11.75,BL
840,Hemiptera,Thamnotettix.confinis,Thamnotettix,confinis,Thamnotettix confinis,bwk,1,0.404233319,0.011764706,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.75,BL
854,Coleoptera,Trachysida.aspera,Trachysida,aspera,Trachysida aspera,bwk,1,0.438160559,0.015151515,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",14,BL
866,Diptera,Tropidia.quadrata,Tropidia,quadrata,Tropidia quadrata,bwk,2,0.415975508,0.03550546,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL
871,Coleoptera,Tychius.stephensi,Tychius,stephensi,Tychius stephensi,bwk,1,0.436430804,0.017964072,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.3,BL
902,Hymenoptera,Xylota.bigelowi,Xylota,bigelowi,Xylota bigelowi,bwk,1,0.553147331,0.05988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL
904,Hymenoptera,Xylota.hinei,Xylota,hinei,Xylota hinei,bwk,2,0.378747214,0.023740754,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL
906,Hymenoptera,Xylota.sp,Xylota,sp,Xylota sp,bwk,1,0.313668796,0.005988024,0.002141328,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL
907,,Zeraea.americana,Zeraea,americana,Zeraea americana,bwk,2,0.396571896,0.033015051,0.004282655,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",NA,NA
8,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,cer,1,0.69546576,0.25,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
20,Hymenoptera,Ancyloscelis.romeroi,Ancyloscelis,romeroi,Ancyloscelis romeroi,cer,2,0.857501564,0.833333333,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
21,Hymenoptera,Ancyloscelis.sp,Ancyloscelis,sp,Ancyloscelis sp,cer,1,0.705348649,0.111111111,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
83,Hymenoptera,Anthidium.sertanicola,Anthidium,sertanicola,Anthidium sertanicola,cer,2,0.796451461,1.052631579,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
87,Hymenoptera,Anthodioctes.megachiloides,Anthodioctes,megachiloides,Anthodioctes megachiloides,cer,3,0.565985428,0.293752317,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL
110,Hymenoptera,Apis.mellifera,Apis,mellifera,Apis mellifera,cer,27,0.771648321,7.191162492,0.057815846,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,3.3,ITD
117,Hymenoptera,Arhysoceble.sp,Arhysoceble,sp,Arhysoceble sp,cer,1,0.784171787,0.2,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7,BL
123,Hymenoptera,Augochlorella.ephyra,Augochlorella,ephyra,Augochlorella ephyra,cer,1,0.636846111,0.066666667,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.25,BL
131,Hymenoptera,Augochloropsis.smithiana,Augochloropsis,smithiana,Augochloropsis smithiana,cer,3,0.657439103,0.178095238,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12,BL
133,Hymenoptera,Augochloropsis.sp,Augochloropsis,sp,Augochloropsis sp,cer,11,0.647136123,1.097728324,0.023554604,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
149,Hymenoptera,Bombus.brevivillus,Bombus,brevivillus,Bombus brevivillus,cer,29,0.659119058,5.431536519,0.062098501,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.5,BL
165,Hymenoptera,Bombus.morio,Bombus,morio,Bombus morio,cer,19,0.640358336,4.131658564,0.040685225,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.5,BL
171,Hymenoptera,Bombus.pauloensis,Bombus,pauloensis,Bombus pauloensis,cer,5,0.615931265,0.452451884,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.5,BL
211,Hymenoptera,Centris.aenea,Centris,aenea,Centris aenea,cer,1,0.792046798,0.222222222,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
213,Hymenoptera,Centris.analis,Centris,analis,Centris analis,cer,1,0.515770099,0.027027027,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
214,Hymenoptera,Centris.bicolor,Centris,bicolor,Centris bicolor,cer,4,0.461561945,0.105371097,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,17.5,BL
216,Hymenoptera,Centris.burgdorfi,Centris,burgdorfi,Centris burgdorfi,cer,8,0.719408242,1.376200358,0.017130621,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
222,Hymenoptera,Centris.fuscata,Centris,fuscata,Centris fuscata,cer,1,0.907047848,0.5,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
225,Hymenoptera,Centris.lateritia,Centris,lateritia,Centris lateritia,cer,1,0.612396497,0.055555556,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
228,Hymenoptera,Centris.machadoi,Centris,machadoi,Centris machadoi,cer,1,0.636846111,0.066666667,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
230,Hymenoptera,Centris.mocsaryi,Centris,mocsaryi,Centris mocsaryi,cer,1,0.596590064,0.054054054,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
232,Hymenoptera,Centris.nitens,Centris,nitens,Centris nitens,cer,6,0.588906474,0.633458816,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
234,Hymenoptera,Centris.rupestris,Centris,rupestris,Centris rupestris,cer,1,0.907047848,0.5,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
236,Hymenoptera,Centris.scopipes,Centris,scopipes,Centris scopipes,cer,3,0.639844561,0.232156863,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
241,Hymenoptera,Centris.tarsata,Centris,tarsata,Centris tarsata,cer,2,0.573063402,0.103950104,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
247,Hymenoptera,Centris.varia,Centris,varia,Centris varia,cer,4,0.671456947,0.824136637,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
251,Hymenoptera,Ceratalictus.clonius,Ceratalictus,clonius,Ceratalictus clonius,cer,2,0.593094683,0.213888889,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.25,BL
259,Hymenoptera,Ceratina.sp,Ceratina,sp,Ceratina sp,cer,21,0.643423678,6.129245388,0.04496788,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.35,BL
292,Hymenoptera,Coelioxys.sp,Coelioxys,sp,Coelioxys sp,cer,1,0.539496791,0.032258065,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13.5,BL
308,Hymenoptera,Colletes.sp,Colletes,sp,Colletes sp,cer,1,0.462610173,0.018181818,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11.5,BL
315,Hymenoptera,Ctenioschelus.goeryi,Ctenioschelus,goeryi,Ctenioschelus goeryi,cer,2,0.648295377,0.166666667,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15,BL
337,Hymenoptera,Dialictus.rostratus,Dialictus,rostratus,Dialictus rostratus,cer,1,0.539496791,0.032258065,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.75,BL
340,Hymenoptera,Dialictus.sp,Dialictus,sp,Dialictus sp,cer,4,0.754692613,0.383384054,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.75,BL
359,Hymenoptera,Epanthidium.aureocinctum,Epanthidium,aureocinctum,Epanthidium aureocinctum,cer,1,0.852674325,0.333333333,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
361,Hymenoptera,Epanthidium.tigrinum,Epanthidium,tigrinum,Epanthidium tigrinum,cer,4,0.522628598,0.165445199,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
367,Hymenoptera,Epicharis.analis,Epicharis,analis,Epicharis analis,cer,6,0.705221671,1.252978785,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
369,Hymenoptera,Epicharis.bicolor,Epicharis,bicolor,Epicharis bicolor,cer,6,0.614852285,0.610424837,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
371,Hymenoptera,Epicharis.cockerelli,Epicharis,cockerelli,Epicharis cockerelli,cer,6,0.519919404,0.324546246,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
373,Hymenoptera,Epicharis.flava,Epicharis,flava,Epicharis flava,cer,3,0.593288751,0.199313725,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
375,Hymenoptera,Epicharis.iheringii,Epicharis,iheringii,Epicharis iheringii,cer,7,0.598045566,0.785195682,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
376,Hymenoptera,Epicharis.morio,Epicharis,morio,Epicharis morio,cer,7,0.746179145,1.12671295,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
377,Hymenoptera,Epicharis.picta,Epicharis,picta,Epicharis picta,cer,1,0.598267483,0.05,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
381,Hymenoptera,Epicharis.xanthogastra,Epicharis,xanthogastra,Epicharis xanthogastra,cer,1,0.596590064,0.054054054,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
410,Hymenoptera,Eufriesea.violacens,Eufriesea,violacens,Eufriesea violacens,cer,6,0.550605219,0.554714912,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
415,Hymenoptera,Euglossa.melanotricha,Euglossa,melanotricha,Euglossa melanotricha,cer,3,0.748179542,1.541666667,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14,BL
417,Hymenoptera,Euglossa.sp,Euglossa,sp,Euglossa sp,cer,3,0.570642953,0.385416667,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14,BL
420,Hymenoptera,Eulaema.nigrita,Eulaema,nigrita,Eulaema nigrita,cer,4,0.489520436,0.145548246,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.9,ITD
440,Hymenoptera,Exaerete.dentata,Exaerete,dentata,Exaerete dentata,cer,1,0.489520436,0.022222222,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,17.5,BL
443,Hymenoptera,Exomalopsis.auropilosa,Exomalopsis,auropilosa,Exomalopsis auropilosa,cer,4,0.544023818,0.307878149,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
445,Hymenoptera,Exomalopsis.campestris,Exomalopsis,campestris,Exomalopsis campestris,cer,7,0.650557118,1.679194782,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
447,Hymenoptera,Exomalopsis.fulvofasciata,Exomalopsis,fulvofasciata,Exomalopsis fulvofasciata,cer,11,0.606947617,1.934359461,0.023554604,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
449,Hymenoptera,Exomalopsis.sp,Exomalopsis,sp,Exomalopsis sp,cer,8,0.590294548,1.619144936,0.017130621,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
460,Hymenoptera,Gaesischia.belophora,Gaesischia,belophora,Gaesischia belophora,cer,5,0.604276117,0.385987601,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
